dlga_start:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_member_chat:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_event_triggered:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_oim_tutorial_mission_dlg_x:oim_tutorial_mission_dlg_1_1|Thank you for aiding us! An extra arm is always welcome in times such as these.
dlga_oim_tutorial_mission_dlg_1_1:oim_tutorial_mission_dlg_1_2|It was my honor to aid you.
dlga_oim_tutorial_mission_dlg_1_2:close_window|Come let's find some horses and ride away before more of these scoundrels appear.
dlga_oim_tutorial_mission_dlg:close_window|Alright then, we'll have to do something about this padlock. Take this old pistol and blast the wretched thing, will you?
dlga_oim_tutorial_mission_dlg_5:oim_tutorial_mission_dlg_5_1|Many thanks, stranger. These are strange times, as we both well know... And it good to meet new friends. Would you care to join us for supper?
dlga_oim_tutorial_mission_dlg_5_1:close_window|Aye, that I would!
dlga_ms_extra_officer_dialog_start:ms_extra_officer_element_list|{s0}^{s5}
dlga_ms_extra_officer_element_list:ms_view_officer_elements|{s2}
dlga_ms_extra_officer_element_list:ms_extra_officer_dialog_start|I would like to recruit some men.
dlga_ms_extra_officer_element_list:close_window|I must go...
dlga_ms_view_officer_elements:ms_view_officer_elements_list|{s2}
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start|1 ({reg0} thaler and {reg1} coppers).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.1|3 ({reg0} thaler and {reg1} coppers).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.2|5 ({reg0} thaler and {reg1} coppers).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.3|I must go...
dlga_ms_extra_goods_dialog_start:ms_extra_goods_category_list|What is your wish?
dlga_ms_extra_goods_category_list:ms_view_categoty_elements|{s2}
dlga_ms_extra_goods_category_list:close_window|Make purchase.
dlga_ms_extra_goods_category_list:close_window.1|I must go...
dlga_ms_view_categoty_elements:ms_view_categoty_elements_list|{s0}
dlga_ms_view_categoty_elements_list:ms_extra_element_buy_descr|{s2} ({reg2} thaler).
dlga_ms_view_categoty_elements_list:ms_extra_goods_dialog_start|I must go...
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list|The order's accepted. Come in about two weeks, everything would be ready.
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list.1|You don't have enough money!
dlga_ms_extra_element_buy_descr_list:close_window|Very well.
dlga_ms_elder_dialog_start:ms_elder_list|How can I be of help?
dlga_ms_elder_list:ms_view_elements|I'd like to erect a building.
dlga_ms_elder_list:ms_view_elements.1|To appoint someone...
dlga_ms_elder_list:ms_already_builded|Tell me, what is already built here?
dlga_ms_elder_list:ms_already_builded.1|Tell me, which positions are already occupied?
dlga_ms_elder_list:close_window|I must go...
dlga_ms_view_elements:ms_view_elements_list|{s0}
dlga_ms_view_elements_list:ms_element_menu|{s2}
dlga_ms_view_elements_list:ms_elder_dialog_start|That's all.
dlga_ms_view_elements_list:ms_extra_adviser|Understood.
dlga_ms_element_menu:ms_element_menu_list|{s0}. What would you like to do, my {lord/lady}?
dlga_ms_element_menu_list:ms_player_read_descr|{s2} 
dlga_ms_element_menu_list:ms_element_description|Tell me more...
dlga_ms_element_menu_list:ms_view_elements|Nothing...
dlga_ms_player_read_descr:ms_player_read_descr_list|To {reg0?find a worthy man:erect a building} would require {reg2} {reg1?days:hours} and {reg3} thaler.
