str_no_string|NO STRING!
str_empty_string| 
str_yes|Yes.
str_no|No.
str_blank_string| 
str_error_string|ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_noone|no one
str_s0|{s0}
str_reg1|{reg1}
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} and {s51}
str_s5_s_party|{s5}'s Party
str_bandits_eliminated_by_another|The troublesome bandits have been eliminated by another party.
str_msg_battle_won|The battle is won! Press [Tab] to leave...
str_randomize|Randomize
str_hold_fire|Hold Fire
str_blunt_hold_fire|Halt! / Hold Fire
str_finished|(Finished)
str_delivered_damage|Delivered {reg60} damage.
str_archery_target_hit|Distance: {reg61} yards. Score: {reg60}
str_use_baggage_for_inventory|Use your baggage to access your inventory during a battle. (It is at your starting position.)
str_cant_use_inventory_now|Cannot access inventory now.
str_cant_use_inventory_arena|Cannot access inventory in the arena.
str_cant_use_inventory_disguised|Cannot access inventory while you are disguised.
str_1_denar|1 thaler
str_reg1_denars|{reg1} thaler
str_january_reg1_reg2|January {reg1}, {reg2}
str_february_reg1_reg2|February {reg1}, {reg2}
str_march_reg1_reg2|March {reg1}, {reg2}
str_april_reg1_reg2|April {reg1}, {reg2}
str_may_reg1_reg2|May {reg1}, {reg2}
str_june_reg1_reg2|June {reg1}, {reg2}
str_july_reg1_reg2|July {reg1}, {reg2}
str_august_reg1_reg2|August {reg1}, {reg2}
str_september_reg1_reg2|September {reg1}, {reg2}
str_october_reg1_reg2|October {reg1}, {reg2}
str_november_reg1_reg2|November {reg1}, {reg2}
str_december_reg1_reg2|December {reg1}, {reg2}
str_town_nighttime| It is late at night, and honest folk have deserted the streets.
str_door_locked|The door is locked.
str_castle_is_abondened|The fortress seems to be unoccupied.
str_place_is_occupied_by_player|The place is held by your own troops.
str_place_is_occupied_by_enemy|The place is held by hostile troops.
str_do_you_want_to_retreat|Are you sure you wish to retreat?
str_give_up_fight|Give up the fight?
str_do_you_wish_to_leave_tutorial|Do you wish to leave the tutorial?
str_do_you_wish_to_surrender|Do you wish to surrender?
str_can_not_retreat|You cannot retreat! There are enemies nearby!
str_s1_joined_battle_enemy|{s1} has joined the battle on the enemy side.
str_s1_joined_battle_friend|{s1} has joined the battle on your side.
str_entrance_to_town_forbidden|The town guards will easily detect an impostor. You won't be able to pass through the gates unchallenged.
str_sneaking_to_town_impossible|The town guards are alarmed. You wouldn't be able to sneak through the gate, no matter how well you disguise yourself.
str_battle_won|The battle is won!
str_battle_lost|The battle is lost!
str_attack_walls_success|After a fierce battle, your brave soldiers manage to seize the walls from the enemy.
str_attack_walls_failure|Your soldiers fall in waves as they charge the walls, and the few who remain soon rout and run for their lives, never to be seen again.
str_attack_walls_continue|A bloody battle ensues, with both sides fighting with great valor. But despite the efforts of your troops, the fortress remains in enemy hands.
str_order_attack_success|Your men fight bravely, and defeat the enemy.
str_order_attack_failure|You watch the battle in despair as the enemy easily cuts down your soldiers and drives off the few ragged survivors.
str_order_attack_continue|Despite a long and wearing battle, your troops were unable to win a decisive victory.
str_join_order_attack_success|Your men fought well alongside your allies, sharing in the glory as your enemies are crushed.
str_join_order_attack_failure|You watch the battle in despair as the enemy easily cuts down your soldiers and drives off the few ragged survivors.
str_join_order_attack_continue|Despite a fierce battle, neither your troops nor your allies were able to win a decisive victory over the enemy.
str_siege_defender_order_attack_success|The men of the garrison hold the walls with skill and courage, breaking the enemy assault and skillfully turning the threat into a full-fledged rout.
str_siege_defender_order_attack_failure|The assault quickly turns into a bloodbath. Valiant defense efforts are for naught; the overmatched garrison cannot hold the walls, and the enemy puts every last defender to the sword.
str_siege_defender_order_attack_continue|Repeated, bloody attempts on the walls fail to gain a decisive foothold, but too many enemies yet remain for the defenders to claim a true victory. The siege continues.
str_hero_taken_prisoner|{s1} of {s3} has been taken prisoner by {s2}.
str_hero_freed|{s1} of {s3} has been freed from captivity by {s2}.
str_center_captured|{s2} have taken {s1} from {s3}.
