qstr_Next_Page|Next Page
qstr_Game_Rules:^|Game Rules:^
qstr_Show_game_rules|Show game rules
qstr_Continue...|Continue...
qstr_Candidate_#1:_{s1}|Candidate #1: {s1}
qstr_Candidate_#2:_{s1}|Candidate #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} of {s4} wishes to select a new marshal, and has invited his nobles to counsel. {s1} and {s2} are the likely candidates.
qstr_Who_do_you_wish_to_s|Who do you wish to support?
qstr_{s1}|{s1}
qstr_{s1}_gives_his_suppo|{s2} received support from {s1}.
qstr_Number_of_Supporters|Number of Supporters: {reg0}
qstr_{s2}_has_heard_his_v|{s2} has heard his nobles' counsel. He selects {s1} as the Marshall of {s3}.
qstr_Action|Action
qstr_Attack_Type|Attack Type
qstr_Stand_Ground|Stand Ground
qstr_Charge|Charge
qstr_Follow_Me|Follow Me
qstr_Hold_This_Position|Hold This Position
qstr_Spread_Out|Spread Out
qstr_Stand_Closer|Stand Closer
qstr_Fall_Back|Fall Back
qstr_Advance|Advance
qstr_Dismount|Dismount
qstr_Mount|Mount
qstr_Fire_At_Will|Fire At Will
qstr_Use_Blunt_Weapons|Use Blunt Weapons
qstr_Use_Any_Weapon|Use Any Weapon
qstr_Ready|Ready
qstr_Wounded|Wounded
qstr_Dead|Dead
qstr_Remain_in_retirement|Remain in retirement.
qstr_Go_back_to_the_adven|Go back to adventuring.
qstr_You_have_retired_at_|You have retired at level {reg4} after {reg5} days of adventuring.
qstr_Effect_on_Score|Effect on Score
qstr_Settlements_owned_by|You have seized {reg0} settlements
qstr_Friendly_Settlements|{reg0} friendly settlements
qstr_Hostile_Settlements:|{reg0} hostile settlements
qstr_Friendly_Lords:_{reg|{reg0} friendly lords
qstr_Enemy_Lords:_{reg0}|{reg0} hostile lords
qstr_Victories:_{reg0}|{reg0} victories
qstr_Defeats:_{reg0}|{reg0} defeats
qstr_Quests_Completed:_{r|You have completed {reg0} quests
qstr_Companions_Found:_{r|You have found {reg0} companions
qstr_Companions_Lost/Depa|You have lost {reg0} companions
qstr_Wealth:_{reg0}_denar|Wealth: {reg0} thaler
qstr_Inventory:_{reg0}_de|Inventory: {reg0} thaler
qstr_Renown:_{reg0}|Renown: {reg0}
qstr_Experience:_{reg0}|Experience: {reg0}
qstr_Days_Passed:_{reg0}|Days Passed: {reg0}
qstr_Difficulty:_{reg0}%|Difficulty: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|TOTAL SCORE: {reg0}
qstr_{s1}_of_{s3}_was_def|{s1} of {s3} was defeated in battle but managed to escape.
qstr_DEBUG:_{s1}_no_longe|DEBUG: {s1} no longer leads a party.
qstr_DEBUG:_{s1}_is_no_lo|DEBUG: {s1} is no longer a prisoner.
qstr_DEBUG:_{s1}_is_now_a|DEBUG: {s1} is now a prisoner of player.
qstr_DEBUG:_{s1}_is_now_a_|DEBUG: {s1} is now a prisoner of {s2}.
qstr_{s54}_is_a_claimant_|{s54} is a claimant to the throne of {s56}.
qstr_nowhere|none
qstr_{s57}_and_{s58}|{s57} and {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?She:He}
qstr_^{s59}|^{s59}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} is the ruler of {s56}.^:{s54} is a subject of {s55} of {s56}.^}}Renown: {reg5}.^{reg9?{reg3?She:He} is the {reg3?lady:lord} of {s58}.:{reg3?She:He} has no fiefs.}{s59}
qstr_The_town_of_{s50}|The town of {s50}
qstr_The_village_of_{s50}|The village of {s50} near {s52}
qstr_{s51}_belongs_to_{s1|{s51} belongs to {s1} of {s2}.^
qstr_{s7}_and_{s8}|{s7} and {s8}
qstr_{s2}It_has_no_villag|{s2}It has no villages.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Its villages are:Its village is} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Its prosperity is: {s50}
qstr_{s7}_{s8}|{s7}, {s8}
qstr_noone|none
qstr_{s9}_and_{s10}|{s9} and {s10}
qstr_{s9}_{s10}|{s9}, {s10}
